TransactionReference,ValueDate,CustomerAccount,Counterparty,AmountMinorUnits,CurrencyCode,TransactionType,SettlementStatus
B000297,2026-03-05,ACC0089,Harrow Sports Club,10881,GBP,DEBIT,SETTLED
B000298,2026-02-19,ACC0092,Dhillon & Sons,3279,GBP,DEBIT,RETURNED
B000299,2026-03-06,ACC0109,Petra Logistics,1304,GBP,DEBIT,UNSETTLED
B000300,2026-03-10,ACC0012,Dhillon & Sons,15710,GBP,CREDIT,UNSETTLED
B000301,2026-03-23,ACC0042,Dhillon & Sons,1612,GBP,DEBIT,RETURNED
B000302,2026-01-02,ACC0063,Harrow Sports Club,4788,GBP,DEBIT,UNSETTLED
B000303,2026-01-28,ACC0038,The Old Print Works,1839,GBP,CREDIT,SETTLED
B000304,2026-02-27,ACC0061,Ashvale Clinic,3342,GBP,CREDIT,UNSETTLED
B000305,2026-03-12,ACC0058,Petra Logistics,3579,GBP,DEBIT,UNSETTLED
B000306,2026-01-25,ACC0047,Dhillon & Sons,3904,GBP,DEBIT,UNSETTLED
B000307,2026-02-04,ACC0037,Petra Logistics,4539,GBP,CREDIT,RETURNED
B000308,2026-03-27,ACC0030,Bolt & Screw Ltd,8250,GBP,CREDIT,SETTLED
B000309,2026-03-09,ACC0055,Bolt & Screw Ltd,11633,GBP,DEBIT,UNSETTLED
B000310,2026-02-16,ACC0079,Dhillon & Sons,10509,GBP,CREDIT,RETURNED
B000311,2026-01-13,ACC0009,Petra Logistics,10582,GBP,DEBIT,SETTLED
B000312,2026-03-24,ACC0111,Bolt & Screw Ltd,14565,GBP,DEBIT,RETURNED
B000313,2026-03-04,ACC0107,Harrow Sports Club,26372,GBP,DEBIT,RETURNED
B000314,2026-02-15,ACC0099,"Wembley Tyres, Ltd",6405,GBP,CREDIT,SETTLED
B000315,2026-03-20,ACC0071,Bolt & Screw Ltd,2250,GBP,DEBIT,RETURNED
B000316,2026-02-10,ACC0062,Dhillon & Sons,7419,GBP,DEBIT,SETTLED
B000317,2026-01-05,ACC0073,The Old Print Works,16189,GBP,CREDIT,UNSETTLED
B000318,2026-02-09,ACC0018,Northline Freight,2282,GBP,CREDIT,RETURNED
B000319,2026-03-13,ACC0037,Kite Digital,2313,GBP,DEBIT,SETTLED
B000320,2026-01-14,ACC0089,Northline Freight,21014,GBP,CREDIT,SETTLED
B000321,2026-03-31,ACC0064,Harrow Sports Club,34770,GBP,DEBIT,SETTLED
B000322,2026-03-14,ACC0019,"Wembley Tyres, Ltd",782,GBP,DEBIT,UNSETTLED
B000323,2026-02-04,ACC0089,The Old Print Works,9553,GBP,DEBIT,RETURNED
B000324,2026-02-05,ACC0088,Dhillon & Sons,10706,GBP,DEBIT,RETURNED
B000325,2026-03-27,ACC0028,Kite Digital,6404,GBP,CREDIT,SETTLED
B000326,2026-02-28,ACC0043,Ashvale Clinic,9303,GBP,CREDIT,UNSETTLED
B000327,2026-01-22,ACC0042,Dhillon & Sons,3689,GBP,CREDIT,RETURNED
B000328,2026-03-27,ACC0050,Bolt & Screw Ltd,7253,GBP,CREDIT,SETTLED
B000329,2026-03-16,ACC0084,Harrow Sports Club,13116,GBP,CREDIT,SETTLED
B000330,2026-01-21,ACC0113,Harrow Sports Club,18573,GBP,CREDIT,SETTLED
B000331,2026-02-06,ACC0115,Bolt & Screw Ltd,59852,GBP,DEBIT,SETTLED
B000332,2026-03-10,ACC0103,Bolt & Screw Ltd,21320,GBP,DEBIT,SETTLED
B000333,2026-01-09,ACC0097,Corner Cafe,5084,GBP,CREDIT,UNSETTLED
B000334,2026-02-19,ACC0077,Kite Digital,6755,GBP,DEBIT,RETURNED
B000335,2026-03-06,ACC0009,Ashvale Clinic,13952,GBP,DEBIT,UNSETTLED
B000336,2026-02-19,ACC0035,"Wembley Tyres, Ltd",3048,GBP,CREDIT,UNSETTLED
B000337,2026-03-10,ACC0084,Corner Cafe,,GBP,CREDIT,RETURNED
B000338,2026-03-27,ACC0104,Dhillon & Sons,4509,GBP,CREDIT,SETTLED
B000339,2026-02-20,ACC0021,Dhillon & Sons,38410,GBP,DEBIT,RETURNED
B000340,2026-02-09,ACC0016,The Old Print Works,4720,GBP,DEBIT,SETTLED
B000341,2026-01-18,ACC0066,Northline Freight,676,GBP,DEBIT,SETTLED
B000342,2026-02-01,ACC0042,Sandbrook Utilities,3259,GBP,DEBIT,UNSETTLED
B000343,2026-03-13,ACC0073,Dhillon & Sons,2181,GBP,DEBIT,UNSETTLED
B000344,2026-02-03,ACC0017,Harrow Sports Club,2667,GBP,DEBIT,SETTLED
B000345,2026-01-29,ACC0066,The Old Print Works,32559,GBP,DEBIT,RETURNED
B000346,2026-01-25,ACC0030,Petra Logistics,12115,GBP,DEBIT,SETTLED
B000347,2026-01-03,ACC0003,Harrow Sports Club,15541,GBP,DEBIT,RETURNED
B000348,2026-02-07,ACC0100,Northline Freight,4509,GBP,CREDIT,UNSETTLED
B000349,2026-01-27,ACC0024,Sandbrook Utilities,10745,GBP,DEBIT,RETURNED
B000350,2026-01-29,ACC0112,The Old Print Works,11883,GBP,CREDIT,SETTLED
B000351,2026-02-09,ACC0057,Harrow Sports Club,2086,GBP,DEBIT,SETTLED
B000352,2026-01-07,ACC0007,Petra Logistics,3162,GBP,DEBIT,SETTLED
B000353,2026-01-29,ACC0048,"Marlow ""Fine"" Foods",15784,GBP,DEBIT,SETTLED
B000354,2026-02-28,ACC0036,Sandbrook Utilities,3698,GBP,DEBIT,RETURNED
B000355,2026-02-28,ACC0015,Bolt & Screw Ltd,1974,GBP,DEBIT,SETTLED
B000356,2026-01-27,ACC0046,"Wembley Tyres, Ltd",3714,GBP,CREDIT,SETTLED
B000357,2026-02-25,ACC0086,Corner Cafe,1828,GBP,CREDIT,SETTLED
B000358,2026-03-29,ACC0070,Dhillon & Sons,625,GBP,CREDIT,UNSETTLED
B000359,2026-01-07,ACC0057,"Wembley Tyres, Ltd",57266,GBP,CREDIT,SETTLED
B000360,2026-01-08,ACC0106,"Marlow ""Fine"" Foods",12170,GBP,DEBIT,SETTLED
B000361,2026-01-07,ACC0077,Kite Digital,11093,GBP,CREDIT,UNSETTLED
B000362,2026-01-30,ACC0110,The Old Print Works,21981,GBP,DEBIT,RETURNED
B000363,2026-03-30,ACC0035,Petra Logistics,5388,GBP,DEBIT,SETTLED
B000364,2026-03-27,ACC0028,Harrow Sports Club,26831,GBP,DEBIT,SETTLED
B000365,2026-02-10,ACC0008,Harrow Sports Club,9168,GBP,DEBIT,RETURNED
B000366,2026-02-06,ACC0086,Sandbrook Utilities,2509,GBP,CREDIT,RETURNED
B000367,2026-02-10,ACC0085,Ashvale Clinic,3830,GBP,DEBIT,UNSETTLED
B000368,2026-02-01,ACC0008,Harrow Sports Club,7678,GBP,CREDIT,RETURNED
B000369,2026-01-04,ACC0054,Ashvale Clinic,15644,GBP,DEBIT,UNSETTLED
B000370,2026-01-17,ACC0068,Petra Logistics,1006,GBP,DEBIT,SETTLED
B000371,2026-01-24,ACC0002,"Wembley Tyres, Ltd",13160,GBP,DEBIT,SETTLED
B000372,2026-02-25,ACC0026,Dhillon & Sons,3959,GBP,DEBIT,SETTLED
B000373,2026-03-11,ACC0049,"Wembley Tyres, Ltd",51079,GBP,DEBIT,RETURNED
B000374,2026-02-13,ACC0112,The Old Print Works,4423,GBP,CREDIT,RETURNED
B000375,2026-03-10,ACC0117,Dhillon & Sons,7254,GBP,CREDIT,RETURNED
B000376,2026-03-19,ACC0067,Kite Digital,3066,GBP,DEBIT,UNSETTLED
B000377,2026-02-03,ACC0092,Petra Logistics,728,GBP,DEBIT,UNSETTLED
B000378,2026-03-28,ACC0095,Petra Logistics,20592,GBP,DEBIT,SETTLED
B000379,2026-02-04,ACC0062,Kite Digital,5202,GBP,DEBIT,SETTLED
B000380,2026-02-11,ACC0009,"Wembley Tyres, Ltd",22016,GBP,CREDIT,RETURNED
B000381,2026-02-03,ACC0106,Bolt & Screw Ltd,5350,GBP,DEBIT,SETTLED
B000382,2026-03-21,ACC0106,Corner Cafe,2085,GBP,CREDIT,UNSETTLED
B000383,2026-01-28,ACC0015,Ashvale Clinic,7188,GBP,CREDIT,SETTLED
B000384,2026-01-03,ACC0017,Sandbrook Utilities,5915,GBP,CREDIT,SETTLED
B000385,2026-03-05,ACC0099,Sandbrook Utilities,3982,GBP,DEBIT,UNSETTLED
B000386,2026-02-04,ACC0041,Sandbrook Utilities,5507,GBP,DEBIT,SETTLED
B000387,2026-03-18,ACC0097,"Wembley Tyres, Ltd",2806,GBP,DEBIT,UNSETTLED
B000388,2026-03-26,ACC0024,"Marlow ""Fine"" Foods",10978,GBP,DEBIT,UNSETTLED
B000389,2026-01-22,ACC0120,Ashvale Clinic,2625,GBP,DEBIT,SETTLED
B000390,2026-01-27,ACC0002,Dhillon & Sons,1556,GBP,DEBIT,RETURNED
B000391,2026-01-16,ACC0041,Petra Logistics,780,GBP,DEBIT,SETTLED
B000392,2026-03-12,ACC0117,Bolt & Screw Ltd,8703,GBP,DEBIT,RETURNED
B000393,2026-03-14,ACC0114,Ashvale Clinic,12909,GBP,CREDIT,UNSETTLED
B000394,2026-02-20,ACC0003,Ashvale Clinic,25444,GBP,CREDIT,SETTLED
B000395,2026-03-21,ACC0063,Dhillon & Sons,3793,GBP,CREDIT,SETTLED
B000396,2026-03-15,ACC0014,Petra Logistics,21553,GBP,CREDIT,RETURNED
B000397,2026-01-12,ACC0053,Petra Logistics,12173,GBP,CREDIT,SETTLED
B000398,2026-03-17,ACC0007,Corner Cafe,4350,GBP,CREDIT,SETTLED
B000399,2026-02-22,ACC0060,Dhillon & Sons,2641,GBP,CREDIT,SETTLED
B000400,2026-01-08,ACC0087,Northline Freight,3780,GBP,CREDIT,UNSETTLED
B000401,2026-02-14,ACC0011,The Old Print Works,13659,GBP,CREDIT,UNSETTLED
B000402,2026-01-05,ACC0023,Ashvale Clinic,5413,GBP,CREDIT,RETURNED
B000403,2026-03-01,ACC0004,Sandbrook Utilities,7470,GBP,DEBIT,UNSETTLED
B000404,2026-03-14,ACC0060,Corner Cafe,7564,GBP,DEBIT,SETTLED
B000405,2026-01-25,ACC0076,Northline Freight,32367,GBP,CREDIT,SETTLED
B000406,2026-02-04,ACC0040,"Wembley Tyres, Ltd",13380,GBP,CREDIT,SETTLED
B000407,2026-02-02,ACC0062,"Marlow ""Fine"" Foods",14612,GBP,DEBIT,RETURNED
B000408,2026-01-14,ACC0025,Bolt & Screw Ltd,10679,GBP,CREDIT,UNSETTLED
B000409,2026-03-23,ACC0069,"Wembley Tyres, Ltd",2422,GBP,DEBIT,SETTLED
B000410,2026-01-06,ACC0009,Sandbrook Utilities,12320,GBP,DEBIT,RETURNED
B000411,2026-01-13,ACC0108,The Old Print Works,3390,GBP,DEBIT,SETTLED
B000412,2026-02-20,ACC0005,Petra Logistics,3193,GBP,CREDIT,SETTLED
B000413,2026-03-31,ACC0047,Bolt & Screw Ltd,3273,GBP,CREDIT,UNSETTLED
B000414,2026-02-06,ACC0068,The Old Print Works,2276,GBP,DEBIT,RETURNED
B000415,2026-01-01,ACC0068,Ashvale Clinic,3745,GBP,DEBIT,SETTLED
B000416,2026-03-08,ACC0113,Ashvale Clinic,10239,GBP,DEBIT,RETURNED
B000417,2026-01-02,ACC0118,Corner Cafe,6254,GBP,DEBIT,SETTLED
B000418,2026-01-22,ACC0079,Ashvale Clinic,56535,GBP,CREDIT,UNSETTLED
B000419,2026-03-29,ACC0023,Northline Freight,2632,GBP,DEBIT,SETTLED
B000420,2026-01-28,ACC0050,Northline Freight,10365,GBP,DEBIT,UNSETTLED
B000421,2026-02-09,ACC0106,Harrow Sports Club,5408,GBP,DEBIT,RETURNED
B000422,2026-02-08,ACC0009,Ashvale Clinic,7308,GBP,DEBIT,SETTLED
B000423,2026-01-30,ACC0111,Kite Digital,1965,GBP,CREDIT,SETTLED
B000424,2026-03-21,ACC0094,Corner Cafe,52953,GBP,CREDIT,UNSETTLED
B000425,2026-02-04,ACC0112,"Wembley Tyres, Ltd",3224,GBP,DEBIT,SETTLED
B000426,2026-01-28,ACC0120,Dhillon & Sons,19684,GBP,CREDIT,UNSETTLED
B000427,2026-02-15,ACC0032,The Old Print Works,719,GBP,DEBIT,RETURNED
B000428,2026-03-10,ACC0115,Dhillon & Sons,2066,GBP,CREDIT,SETTLED
B000429,2026-02-23,ACC0020,The Old Print Works,5874,GBP,DEBIT,SETTLED
B000430,2026-03-19,ACC0019,Bolt & Screw Ltd,10083,GBP,CREDIT,SETTLED
B000431,2026-02-03,ACC0115,Ashvale Clinic,6032,GBP,DEBIT,UNSETTLED
B000432,2026-01-29,ACC0012,Kite Digital,30349,GBP,DEBIT,RETURNED
B000433,2026-03-27,ACC0034,Sandbrook Utilities,1316,GBP,DEBIT,SETTLED
B000434,2026-01-09,ACC0025,The Old Print Works,21941,GBP,CREDIT,SETTLED
B000435,2026-03-31,ACC0070,"Wembley Tyres, Ltd",6154,GBP,DEBIT,RETURNED
B000436,2026-01-26,ACC0086,Northline Freight,9526,GBP,CREDIT,UNSETTLED
B000437,2026-01-23,ACC0014,"Marlow ""Fine"" Foods",14140,GBP,CREDIT,UNSETTLED
B000438,2026-02-09,ACC0028,Bolt & Screw Ltd,19647,GBP,DEBIT,RETURNED
B000439,2026-01-18,ACC0009,"Wembley Tyres, Ltd",6255,GBP,DEBIT,SETTLED
B000440,2026-01-17,ACC0106,Dhillon & Sons,1692,GBP,DEBIT,RETURNED
B000441,2026-03-19,ACC0010,Bolt & Screw Ltd,48410,GBP,DEBIT,SETTLED
B000442,2026-02-09,ACC0046,Bolt & Screw Ltd,3452,GBP,DEBIT,UNSETTLED
B000443,2026-03-27,ACC0060,Kite Digital,4128,GBP,DEBIT,RETURNED
B000444,2026-02-14,ACC0119,Sandbrook Utilities,946,GBP,DEBIT,RETURNED
B000445,2026-01-29,ACC0102,"Wembley Tyres, Ltd",20368,GBP,DEBIT,SETTLED
B000446,2026-03-28,ACC0058,The Old Print Works,3166,GBP,DEBIT,UNSETTLED
B000447,2026-01-08,ACC0053,"Marlow ""Fine"" Foods",2617,GBP,CREDIT,RETURNED
B000448,2026-02-11,ACC0051,Northline Freight,6703,GBP,CREDIT,RETURNED
B000449,2026-01-05,ACC0052,Corner Cafe,20008,GBP,DEBIT,SETTLED
B000450,2026-03-19,ACC0117,Kite Digital,445,GBP,DEBIT,RETURNED
B000451,2026-03-13,ACC0081,Kite Digital,48436,GBP,DEBIT,SETTLED
B000452,2026-01-21,ACC0116,Dhillon & Sons,29321,GBP,DEBIT,RETURNED
B000453,2026-03-25,ACC0107,Bolt & Screw Ltd,5119,GBP,DEBIT,UNSETTLED
B000454,2026-02-25,ACC0030,Ashvale Clinic,5054,GBP,CREDIT,SETTLED
B000455,2026-01-22,ACC0004,Ashvale Clinic,13078,GBP,CREDIT,RETURNED
B000456,2026-02-11,ACC0097,Dhillon & Sons,11323,GBP,CREDIT,RETURNED
B000457,2026-02-28,ACC0117,Petra Logistics,19586,GBP,DEBIT,SETTLED
B000458,2026-01-17,ACC0100,Sandbrook Utilities,4513,GBP,CREDIT,RETURNED
B000459,2026-03-07,ACC0043,Harrow Sports Club,538,GBP,DEBIT,SETTLED
B000460,2026-03-19,ACC0054,"Marlow ""Fine"" Foods",22876,GBP,DEBIT,SETTLED
B000461,2026-01-23,ACC0115,Sandbrook Utilities,25751,GBP,DEBIT,RETURNED
B000462,2026-03-12,ACC0083,Bolt & Screw Ltd,2002,GBP,DEBIT,RETURNED
B000463,2026-01-05,ACC0119,Dhillon & Sons,10724,GBP,DEBIT,SETTLED
B000464,2026-02-17,ACC0078,Harrow Sports Club,18645,GBP,DEBIT,SETTLED
B000465,2026-02-16,ACC0044,Ashvale Clinic,2306,GBP,DEBIT,SETTLED
B000466,2026-03-22,ACC0084,Petra Logistics,7563,GBP,DEBIT,SETTLED
B000467,2026-01-25,ACC0102,Northline Freight,3823,GBP,DEBIT,SETTLED
B000468,2026-01-19,ACC0030,Petra Logistics,18288,GBP,CREDIT,SETTLED
B000469,2026-02-25,ACC0066,The Old Print Works,8027,GBP,DEBIT,SETTLED
B000470,2026-01-09,ACC0034,"Wembley Tyres, Ltd",5651,GBP,DEBIT,SETTLED
B000471,2026-01-14,ACC0089,Dhillon & Sons,3444,GBP,DEBIT,SETTLED
B000472,2026-02-15,ACC0010,Petra Logistics,4315,GBP,CREDIT,UNSETTLED
B000473,2026-03-18,ACC0069,Bolt & Screw Ltd,1343,GBP,DEBIT,SETTLED
B000474,2026-03-01,ACC0120,Sandbrook Utilities,1746,GBP,CREDIT,UNSETTLED
B000475,2026-02-06,ACC0077,"Marlow ""Fine"" Foods",5643,GBP,DEBIT,UNSETTLED
B000476,2026-02-24,ACC0018,Ashvale Clinic,3498,GBP,DEBIT,UNSETTLED
B000477,2026-01-17,ACC0067,Northline Freight,1817,GBP,DEBIT,UNSETTLED
B000478,2026-01-14,ACC0068,Ashvale Clinic,10229,GBP,CREDIT,SETTLED
B000479,2026-02-19,ACC0026,"Wembley Tyres, Ltd",1698,GBP,CREDIT,UNSETTLED
B000480,2026-01-24,ACC0031,Corner Cafe,3696,GBP,CREDIT,RETURNED
B000481,2026-02-06,ACC0068,Petra Logistics,17669,GBP,DEBIT,UNSETTLED
B000482,2026-01-12,ACC0110,"Wembley Tyres, Ltd",3452,GBP,DEBIT,SETTLED
B000483,2026-01-16,ACC0089,Dhillon & Sons,3920,GBP,CREDIT,UNSETTLED
B000484,2026-03-09,ACC0108,Corner Cafe,8309,GBP,CREDIT,UNSETTLED
B000485,2026-03-06,ACC0081,Petra Logistics,2571,GBP,DEBIT,SETTLED
B000486,2026-01-13,ACC0042,Bolt & Screw Ltd,5758,GBP,DEBIT,SETTLED
B000487,2026-03-31,ACC0049,Petra Logistics,7564,GBP,DEBIT,SETTLED
B000488,2026-03-07,ACC0057,Kite Digital,13924,GBP,DEBIT,SETTLED
B000489,2026-02-02,ACC0115,Sandbrook Utilities,39816,GBP,CREDIT,SETTLED
B000490,2026-02-04,ACC0075,Petra Logistics,15253,GBP,DEBIT,RETURNED
B000491,2026-02-24,ACC0071,Dhillon & Sons,42078,GBP,DEBIT,SETTLED
B000492,2026-02-27,ACC0066,Corner Cafe,6937,GBP,DEBIT,RETURNED
B000493,2026-01-19,ACC0087,The Old Print Works,9574,GBP,DEBIT,UNSETTLED
B000494,2026-02-27,ACC0088,"Wembley Tyres, Ltd",1415,GBP,CREDIT,UNSETTLED
B000495,2026-02-14,ACC0073,Harrow Sports Club,15653,GBP,DEBIT,UNSETTLED
B000496,2026-02-14,ACC0117,"Wembley Tyres, Ltd",6122,GBP,CREDIT,RETURNED
B000497,2026-02-11,ACC0009,Dhillon & Sons,29558,GBP,CREDIT,RETURNED
B000498,2026-02-07,ACC0087,Kite Digital,52862,GBP,DEBIT,RETURNED
B000499,2026-01-28,ACC0078,Northline Freight,3764,GBP,DEBIT,SETTLED
B000500,2026-01-26,ACC0086,"Wembley Tyres, Ltd",1198,GBP,CREDIT,SETTLED
B000501,2026-03-03,ACC0026,Bolt & Screw Ltd,2178,GBP,DEBIT,RETURNED
B000502,2026-01-06,ACC0118,"Wembley Tyres, Ltd",4154,GBP,DEBIT,SETTLED
B000503,2026-01-18,ACC0028,"Marlow ""Fine"" Foods",14569,GBP,DEBIT,SETTLED
B000504,2026-01-29,ACC0080,Dhillon & Sons,3010,GBP,DEBIT,UNSETTLED
B000505,2026-02-03,ACC0025,Petra Logistics,4577,GBP,CREDIT,SETTLED
B000506,2026-03-30,ACC0014,Bolt & Screw Ltd,7844,GBP,DEBIT,SETTLED
B000507,2026-02-11,ACC0080,Bolt & Screw Ltd,31383,GBP,DEBIT,RETURNED
B000508,2026-02-28,ACC0081,Ashvale Clinic,14310,GBP,DEBIT,SETTLED
B000509,2026-02-28,ACC0067,"Marlow ""Fine"" Foods",191803,GBP,DEBIT,SETTLED
B000510,2026-03-26,ACC0068,Northline Freight,30817,GBP,DEBIT,SETTLED
B000511,2026-03-28,ACC0060,Kite Digital,8468,GBP,CREDIT,UNSETTLED
B000512,2026-01-03,ACC0050,Harrow Sports Club,8017,GBP,DEBIT,SETTLED
B000513,2026-03-06,ACC0023,Bolt & Screw Ltd,12115,GBP,DEBIT,RETURNED
B000514,2026-01-26,ACC0100,"Marlow ""Fine"" Foods",18058,GBP,DEBIT,RETURNED
B000515,2026-03-23,ACC0065,Kite Digital,3184,GBP,CREDIT,SETTLED
B000516,2026-01-24,ACC0096,"Wembley Tyres, Ltd",5158,GBP,DEBIT,SETTLED
B000517,2026-02-12,ACC0011,"Marlow ""Fine"" Foods",3245,GBP,DEBIT,RETURNED
B000518,2026-03-08,ACC0019,Corner Cafe,5349,GBP,CREDIT,UNSETTLED
B000519,2026-03-09,ACC0111,Bolt & Screw Ltd,4003,GBP,DEBIT,SETTLED
B000520,2026-03-27,ACC0113,Dhillon & Sons,31870,GBP,CREDIT,UNSETTLED
B000521,2026-03-24,ACC0030,"Wembley Tyres, Ltd",8905,GBP,DEBIT,UNSETTLED
B000522,2026-02-14,ACC0020,Northline Freight,1330,GBP,DEBIT,RETURNED
B000523,2026-03-18,ACC0085,Harrow Sports Club,4088,GBP,DEBIT,SETTLED
B000524,2026-02-05,ACC0061,Harrow Sports Club,2571,GBP,DEBIT,UNSETTLED
B000525,2026-03-12,ACC0021,Petra Logistics,10479,GBP,DEBIT,UNSETTLED
B000526,2026-02-22,ACC0006,Northline Freight,97719,GBP,DEBIT,UNSETTLED
B000527,2026-01-27,ACC0071,The Old Print Works,20379,GBP,DEBIT,SETTLED
B000528,2026-02-25,ACC0099,Dhillon & Sons,8397,GBP,CREDIT,RETURNED
B000529,2026-03-02,ACC0014,The Old Print Works,3356,GBP,CREDIT,RETURNED
B000530,2026-01-21,ACC0104,Kite Digital,16927,GBP,CREDIT,SETTLED
B000531,2026-03-28,ACC0098,"Marlow ""Fine"" Foods",93510,GBP,CREDIT,SETTLED
B000532,2026-01-25,ACC0083,Northline Freight,17264,GBP,CREDIT,UNSETTLED
B000533,2026-01-17,ACC0078,Northline Freight,6471,GBP,DEBIT,UNSETTLED
B000534,2026-03-10,ACC0094,Ashvale Clinic,4431,GBP,DEBIT,SETTLED
B000535,2026-02-22,ACC0013,Northline Freight,10439,GBP,DEBIT,UNSETTLED
B000536,2026-03-13,ACC0015,Corner Cafe,4827,GBP,CREDIT,SETTLED
B000537,2026-03-27,ACC0084,"Wembley Tyres, Ltd",3350,GBP,DEBIT,RETURNED
B000538,2026-02-28,ACC0067,Corner Cafe,14059,GBP,DEBIT,SETTLED
B000539,2026-02-06,ACC0080,Dhillon & Sons,7993,GBP,DEBIT,SETTLED
B000540,2026-03-19,ACC0091,The Old Print Works,4813,GBP,DEBIT,RETURNED
B000541,2026-01-14,ACC0013,"Marlow ""Fine"" Foods",2234,GBP,DEBIT,UNSETTLED
B000542,2026-03-16,ACC0086,Corner Cafe,6663,GBP,DEBIT,SETTLED
B000543,2026-03-30,ACC0107,Sandbrook Utilities,2014,GBP,DEBIT,UNSETTLED
B000544,2026-02-10,ACC0019,Bolt & Screw Ltd,8419,GBP,DEBIT,UNSETTLED
B000545,2026-03-29,ACC0040,"Wembley Tyres, Ltd",2548,GBP,DEBIT,SETTLED
B000546,2026-03-18,ACC0109,"Wembley Tyres, Ltd",8074,GBP,DEBIT,SETTLED
B000547,2026-03-23,ACC0064,Harrow Sports Club,40032,GBP,DEBIT,SETTLED
B000548,2026-02-18,ACC0089,Ashvale Clinic,17175,GBP,CREDIT,SETTLED
B000549,2026-01-12,ACC0011,Kite Digital,2076,GBP,CREDIT,SETTLED
B000550,2026-01-03,ACC0043,Ashvale Clinic,8094,GBP,DEBIT,SETTLED
B000551,2026-01-08,ACC0084,Bolt & Screw Ltd,3860,GBP,CREDIT,RETURNED
B000552,2026-02-16,ACC0001,Dhillon & Sons,10424,GBP,DEBIT,UNSETTLED
B000553,2026-01-22,ACC0036,"Marlow ""Fine"" Foods",2035,GBP,CREDIT,SETTLED
B000554,2026-03-16,ACC0096,Ashvale Clinic,13746,GBP,DEBIT,SETTLED
B000555,2026-02-16,ACC0039,"Wembley Tyres, Ltd",8279,GBP,DEBIT,UNSETTLED
B000556,2026-03-28,ACC0018,"Marlow ""Fine"" Foods",843,GBP,CREDIT,UNSETTLED
B000557,2026-01-12,ACC0029,Sandbrook Utilities,14251,GBP,CREDIT,SETTLED
B000558,2026-01-31,ACC0101,"Wembley Tyres, Ltd",34637,GBP,CREDIT,UNSETTLED
B000559,2026-02-27,ACC0012,Dhillon & Sons,19753,GBP,DEBIT,RETURNED
B000560,2026-02-17,ACC0021,Kite Digital,3570,GBP,DEBIT,RETURNED
B000561,2026-03-13,ACC0025,"Wembley Tyres, Ltd",4013,GBP,DEBIT,SETTLED
B000562,2026-02-19,ACC0011,Corner Cafe,16611,GBP,DEBIT,SETTLED
B000563,2026-03-21,ACC0100,Sandbrook Utilities,16622,GBP,DEBIT,UNSETTLED
B000564,2026-03-22,ACC0044,Bolt & Screw Ltd,1768,GBP,CREDIT,SETTLED
B000565,2026-01-05,ACC0102,Bolt & Screw Ltd,2602,GBP,CREDIT,RETURNED
B000566,2026-01-20,ACC0110,"Wembley Tyres, Ltd",5308,GBP,CREDIT,SETTLED
B000567,2026-03-01,ACC0115,Ashvale Clinic,5736,GBP,DEBIT,RETURNED
B000568,2026-02-28,ACC0116,Harrow Sports Club,1797,GBP,CREDIT,RETURNED
B000569,2026-03-07,ACC0108,Sandbrook Utilities,24840,GBP,DEBIT,UNSETTLED
B000570,2026-01-22,ACC0006,Northline Freight,4086,GBP,CREDIT,SETTLED
B000571,2026-01-28,ACC0008,Dhillon & Sons,4711,GBP,DEBIT,UNSETTLED
B000572,2026-02-23,ACC0073,Kite Digital,10312,GBP,DEBIT,RETURNED
B000573,2026-02-16,ACC0110,Ashvale Clinic,10209,GBP,DEBIT,RETURNED
B000574,2026-01-26,ACC0068,Northline Freight,33510,GBP,CREDIT,SETTLED
B000575,2026-01-01,ACC0074,Petra Logistics,15896,GBP,CREDIT,SETTLED
B000576,2026-03-02,ACC0011,"Wembley Tyres, Ltd",19876,GBP,CREDIT,SETTLED
B000577,2026-01-28,ACC0004,Bolt & Screw Ltd,19517,GBP,DEBIT,UNSETTLED
B000578,2026-01-10,ACC0097,"Wembley Tyres, Ltd",10917,GBP,DEBIT,SETTLED
B000579,2026-03-23,ACC0082,Bolt & Screw Ltd,12037,GBP,DEBIT,RETURNED
B000580,2026-03-17,ACC0062,Dhillon & Sons,,GBP,DEBIT,SETTLED
B000581,2026-02-11,ACC0070,Bolt & Screw Ltd,1980,GBP,DEBIT,UNSETTLED
B000582,2026-03-23,ACC0049,Harrow Sports Club,13848,GBP,CREDIT,RETURNED
B000583,2026-03-07,ACC0028,Bolt & Screw Ltd,5697,GBP,DEBIT,RETURNED
B000584,2026-01-20,ACC0059,Ashvale Clinic,6000,GBP,CREDIT,RETURNED
B000585,2026-03-12,ACC0023,Northline Freight,23120,GBP,DEBIT,SETTLED
B000586,2026-01-01,ACC0083,Corner Cafe,38624,GBP,DEBIT,SETTLED
B000587,2026-02-22,ACC0039,"Wembley Tyres, Ltd",7302,GBP,DEBIT,UNSETTLED
B000588,2026-02-13,ACC0095,Dhillon & Sons,23477,GBP,DEBIT,UNSETTLED
B000589,2026-03-12,ACC0097,The Old Print Works,6078,GBP,DEBIT,SETTLED
B000590,2026-03-02,ACC0053,Ashvale Clinic,9556,GBP,DEBIT,SETTLED
B000591,2026-03-05,ACC0022,Dhillon & Sons,2244,GBP,CREDIT,RETURNED
B000592,2026-03-14,ACC0008,Corner Cafe,2153,GBP,DEBIT,UNSETTLED
B000593,2026-03-01,ACC0060,Petra Logistics,5287,GBP,DEBIT,RETURNED
